Journal,Rank
Acta Informatica Pragensia,19804
Actualidad Juridica Iberoamericana,19805
Asian Ethnology,19806
Australian Journal of Emergency Management,19807
Boletim de Ciencias Geodesicas,19808
Brazilian Journal of Pharmaceutical Sciences,19809
Burns Open,19810
Cadernos de Traducao,19811
Cahiers de Linguistique Asie Orientale,19812
Central European Journal of Communication,19813
Current Chemical Biology,19814
Estetika : The Central European Journal of Aesthetics,19815
Eurasian Physical Technical Journal,19816
Evolution Psychiatrique,19817
Glass Physics and Chemistry,19818
Granja,19819
Hemijska Industrija,19820
History and Technology,19821
International Journal of African Historical Studies,19822
International Journal of Feminist Approaches to Bioethics,19823
International Journal of Grid and Utility Computing,19824
International Journal of Japanese Sociology,19825
International Journal of Surface Engineering and Interdisciplinary Materials Science,19826
Iran,19827
Jisuan Lixue Xuebao/Chinese Journal of Computational Mechanics,19828
Journal of Applied Probability and Statistics,19829
Journal of Clinical Outcomes Management,19830
Journal of Comprehensive Pediatrics,19831
Journal of Environmental Engineering and Science,19832
Journal of European Tort Law,19833
Journal of Hematopathology,19834
Journal of Modern Project Management,19835
Journal of Object Technology,19836
Journal of Technology Management and Innovation,19837
Journal of Tropical Biodiversity and Biotechnology,19838
Jurnal Ilmiah Peuradeun,19839
Kagaku Kogaku Ronbunshu,19840
KEDI Journal of Educational Policy,19841
Lex Localis,19842
LHB: Hydroscience Journal,19843
Mathematical Modelling of Engineering Problems,19844
Mathematics Enthusiast,19845
New Journal of European Criminal Law,19846
New Writing,19847
Oceans Conference Record (IEEE),19848
OEconomia,19849
Operations Research and Decisions,19850
Per Musi,19851
Perspectives on Global Development and Technology,19852
Revue de l'Infirmiere,19853
Shima,19854
Sustainable Multilingualism,19855
Suxing Gongcheng Xuebao/Journal of Plasticity Engineering,19856
Terra Latinoamericana,19857
Wisconsin Law Review,19858
Word and Text,19859
Acta Scientiae,19860
Advances in Laboratory Medicine,19861
Age of Human Rights Journal,19862
ARYA Atherosclerosis,19863
Atalante,19864
Australasian Journal of Paramedicine,19865
Bothalia,19866
Chinese Language and Discourse,19867
Comparative Sociology,19868
Cosmos and History,19869
Cultural Management: Science and Education,19870
"Discontinuity, Nonlinearity, and Complexity",19871
"ECTI Transactions on Electrical Engineering, Electronics, and Communications",19872
Ensayos Sobre Politica Economica,19873
Fachsprache,19874
Fruits,19875
Gaceta Medica de Mexico,19876
Giornale Italiano di Endodonzia,19877
Global and Stochastic Analysis,19878
Harvard International Law Journal,19879
Hepatitis Monthly,19880
INMATEH - Agricultural Engineering,19881
International Journal of Electronic Customer Relationship Management,19882
International Journal of Environment and Sustainable Development,19883
International Journal of Mathematics for Industry,19884
"International Journal of Speech, Language and the Law",19885
International Seminar on ORC Power Systems,19886
"Iranian Journal of Obstetrics, Gynecology and Infertility",19887
Iranian Journal of Plant Physiology,19888
Japanese Journal of Veterinary Research,19889
Journal of Antitrust Enforcement,19890
Journal of Architecture and Civil Engineering,19891
"Journal of Automata, Languages and Combinatorics",19892
Journal of Cave and Karst Studies,19893
Journal of Defense Analytics and Logistics,19894
Journal of Economic Theory and Econometrics,19895
Journal of Education (South Africa),19896
Journal of Food Quality and Hazards Control,19897
Journal of Library Metadata,19898
Journal of Muslim Minority Affairs,19899
Journal of Ovonic Research,19900
Journal of Pediatric Neurosciences,19901
Journal of Political and Military Sociology,19902
Jurnal Teknologi (Sciences and Engineering),19903
Mathematica Scandinavica,19904
Media Asia,19905
Medical Writing,19906
Metallurgical and Materials Engineering,19907
Orthopaedics and Trauma,19908
Parallel Processing Letters,19909
Pomorstvo,19910
Proceedings of Singapore Healthcare,19911
Quasigroups and Related Systems,19912
Quimica Nova,19913
Radiation Effects and Defects in Solids,19914
Ratio Juris,19915
Recerca,19916
Relacoes Internacionais no Mundo Atual,19917
Revista Brasileira de Ortopedia,19918
Revista de Investigacion e Innovacion en Ciencias de la Salud,19919
Revue Francaise de Gestion,19920
Science and Technology Indonesia,19921
"South of Russia: Ecology, Development",19922
South-East European Forestry,19923
Statistical Applications in Genetics and Molecular Biology,19924
Teknik Dergi/Technical Journal of Turkish Chamber of Civil Engineers,19925
Tempo e Argumento,19926
Texas Water Journal,19927
Tuberculosis and Lung Diseases,19928
World Review of Nutrition and Dietetics,19929
Anesthesia Reports,19930
Annales de Cardiologie et d'Angeiologie,19931
Anthropological Science,19932
Asian Journal of Social Science,19933
Atiqot,19934
Bellaterra Journal of Teaching and Learning Language and Literature,19935
Bronte Studies,19936
Bulgarian Journal of Agricultural Science,19937
Ciencia Tecnologia Agropecuaria,19938
Collection and Curation,19939
Comedy Studies,19940
Communications in Mathematical Biology and Neuroscience,19941
DELTA Documentacao de Estudos em Linguistica Teorica e Aplicada,19942
Egyptian Journal of Otolaryngology,19943
English Studies,19944
Estudos em Comunicacao,19945
European Journal of Oncology Pharmacy,19946
Evolutionary Ecology Research,19947
Experimental Psychology (Russia),19948
Fangzhi Xuebao/Journal of Textile Research,19949
Federal Probation,19950
Ferroelectrics,19951
Gestao e Producao,19952
"Health, Sport, Rehabilitation",19953
Ichthyological Exploration of Freshwaters,19954
ICIC Express Letters,19955
Indian Journal of Sexually Transmitted Diseases and AIDS,19956
International Game Theory Review,19957
International Journal of Electronics and Telecommunications,19958
International Journal of Industrial Engineering : Theory Applications and Practice,19959
International Journal of Occupational Safety and Health,19960
Investigacoes em Ensino de Ciencias,19961
Journal of Exotic Pet Medicine,19962
Journal of Pidgin and Creole Languages,19963
Journal of Sport and Health Research,19964
Journal of the Torrey Botanical Society,19965
Language and Linguistics,19966
Law and Financial Markets Review,19967
Lingua Posnaniensis,19968
Natural Products Journal,19969
Neofilolog,19970
North American Journal of Psychology,19971
Oilfield Chemistry,19972
Online Journal Modelling the New Europe,19973
"Psychoanalysis, Culture and Society",19974
Radiologie,19975
Recent Advances in Computer Science and Communications,19976
Reports on Mathematical Logic,19977
Rural Sustainability Research,19978
Russian Peasant Studies,19979
Seventeenth Century,19980
"Sikh Formations: Religion, Culture, Theory",19981
Slovo a Slovesnost,19982
Sound and Vibration,19983
South African Journal of Industrial Engineering,19984
Spixiana,19985
Studies in Indian Politics,19986
Tanaffos,19987
Textile: The Journal of Cloth and Culture,19988
Theoretical and Experimental Chemistry,19989
Universal Journal of Agricultural Research,19990
Woman in Russian Society,19991
Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie,19992
Aquatic Sciences and Engineering,19993
Assistenza Infermieristica e Ricerca,19994
Cahiers de Biologie Marine,19995
Chemical Problems,19996
CIAN-Revista de Historia de las Universidades,19997
EDPACS,19998
Electronic Journal of Foreign Language Teaching,19999
Enlightening Tourism,20000
Espace-Populations-Societes,20001
"European Journal of Crime, Criminal Law and Criminal Justice",20002
Expert Opinion on Orphan Drugs,20003
Extrapolation,20004
Guti Huojian Jishu/Journal of Solid Rocket Technology,20005
Hydroecologie Appliquee,20006
Indonesian Journal of Pharmacy,20007
Informatsionno-Upravliaiushchie Sistemy,20008
Instrumentation Mesure Metrologie,20009
International Journal of Industrial Engineering and Production Research,20010
International Journal of Multicriteria Decision Making,20011
IOP Conference Series: Earth and Environmental Science,20012
Journal of Computational and Applied Research in Mechanical Engineering,20013
Journal of Contemporary Archaeology,20014
Journal of Medical Cases,20015
Journal of Perioperative Nursing,20016
KOME,20017
Makara Journal of Science,20018
Motriz. Revista de Educacao Fisica,20019
OBETS,20020
Polish Journal of Chemical Technology,20021
Portugaliae Electrochimica Acta,20022
Reproductive and Developmental Medicine,20023
Review of Development Finance,20024
Revista de Filologia Espanola,20025
Seminars in Roentgenology,20026
Serangga,20027
Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology,20028
Shiraz E Medical Journal,20029
South African Journal of Radiology,20030
Southwestern Entomologist,20031
Techniques in Orthopaedics,20032
Transnational Marketing Journal,20033
WSEAS Transactions on Systems and Control,20034
Accounting History Review,20035
Acta medica (Hradec Kralove),20036
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica,20037
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,20038
"Australian Journal of Anthropology, The",20039
Boletin Academico,20040
Boletin Cientifico del Centro de Museos,20041
Breastfeeding Review,20042
Bulletin of the Georgian National Academy of Sciences,20043
Civil Engineering Infrastructures Journal,20044
Engineering Proceedings,20045
Ethnologia Europaea,20046
Hongwai Yu Haomibo Xuebao/Journal of Infrared and Millimeter Waves,20047
"Humanity: An International Journal of Human Rights, Humanitarianism, and Development",20048
Insight Turkey,20049
Interactive Entertainment Law Review,20050
International Journal of Applied Metaheuristic Computing,20051
International Journal of Cancer Management,20052
International Journal of Dynamical Systems and Differential Equations,20053
International Journal of Integrated Engineering,20054
International Journal of Public Administration in the Digital Age,20055
International Journal of Reliable and Quality E-Healthcare,20056
Iranian Journal of Toxicology,20057
Johns Hopkins APL Technical Digest (Applied Physics Laboratory),20058
Journal of British Studies,20059
Journal of Buddhist Ethics,20060
Journal of Creative Music Systems,20061
Journal of Doctoral Nursing Practice,20062
Journal of Electronic Publishing,20063
Journal of Industrial Engineering and Engineering Management,20064
Journal of Laser Micro Nanoengineering,20065
Journal of Library and Information Science in Agriculture,20066
Journal of Tourism and Development,20067
Kantian Journal,20068
Materiale si Cercetari Arheologice,20069
Materiali in Tehnologije,20070
Mouseion,20071
Neilreichia,20072
Northwest Science,20073
Oman Journal of Ophthalmology,20074
Paediatrics and Child Health (United Kingdom),20075
"Periodica Polytechnica, Social and Management Sciences",20076
Proceedings - SPE International Symposium on Formation Damage Control,20077
Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,20078
Revista Chilena de Nutricion,20079
Russian Journal of Physical Chemistry A,20080
Sociologicky Casopis,20081
Southern African Journal of Anaesthesia and Analgesia,20082
Speculum,20083
"Strength, Fracture and Complexity",20084
Transactional Analysis Journal,20085
Transactions of the American Philological Association,20086
Transactions of the Philological Society,20087
Urbe,20088
"Acta Scientiarum Polonorum, Hortorum Cultus",20089
Advances in Aircraft and Spacecraft Science,20090
Australian Journal of Mathematical Analysis and Applications,20091
British Journal of Community Justice,20092
Canadian Conference on Electrical and Computer Engineering,20093
Chinese Journal of School Health,20094
Contemporary British History,20095
Critical Review,20096
Economie et Statistique,20097
European Journal of Humour Research,20098
Forestry Studies,20099
Geopolitics Quarterly,20100
He Jishu/Nuclear Techniques,20101
Huanan Ligong Daxue Xuebao/Journal of South China University of Technology (Natural Science),20102
Indian Journal of Pharmaceutical Education and Research,20103
Instructed Second Language Acquisition,20104
International Journal of Business and Systems Research,20105
International Journal of Mathematical Modelling and Numerical Optimisation,20106
International Journal of Therapy and Rehabilitation,20107
Israel Exploration Journal,20108
Japanese Journal of Religious Studies,20109
Journal of Agricultural and Urban Entomology,20110
Journal of Environmental Accounting and Management,20111
Journal of International Oral Health,20112
Journal of the Indonesian Mathematical Society,20113
Journal of Wildlife and Biodiversity,20114
Kerntechnik,20115
Mens en Maatschappij,20116
Nephrology Nursing Journal,20117
Nordia Geographical Publications,20118
Norwegian Journal of Entomology,20119
Numeracy,20120
Obrabotka Metallov,20121
Osteuropa,20122
Professioni infermieristiche,20123
Progress in Nutrition,20124
Revista de Gestao Social e Ambiental,20125
Russian Journal of Communication,20126
Significance,20127
Slovenska Archeologia,20128
Sonography,20129
South Asia Economic Journal,20130
Statute Law Review,20131
Turk Deprem Arastirma Dergisi,20132
Turkish World Mathematical Society Journal of Applied and Engineering Mathematics,20133
Wireless Power Transfer,20134
Yejin Fenxi/Metallurgical Analysis,20135
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,20136
Agriculture and Natural Resources,20137
"American literature; a journal of literary history, criticism and bibliography",20138
Applied Econometrics and International Development,20139
Archives of Natural History,20140
Asian Journal of Plant Sciences,20141
Biosaintifika,20142
Bulletin de la Societe Royale des Sciences de Liege,20143
Cailiao Daobao/Materials Review,20144
Chinese Journal of Lung Cancer,20145
Chinese Journal of Schistosomiasis Control,20146
Christian Education Journal,20147
Clinical Pediatric Emergency Medicine,20148
Eidos: A Journal for Philosophy of Culture,20149
European Oncology and Haematology,20150
European Public and Social Innovation Review,20151
FP essentials,20152
Gaoya Wuli Xuebao/Chinese Journal of High Pressure Physics,20153
Herpetological Bulletin,20154
Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,20155
Human Factors and Mechanical Engineering for Defense and Safety,20156
Indonesian Journal of Electrical Engineering and Informatics,20157
Informatik-Spektrum,20158
International Journal of Process Management and Benchmarking,20159
International Journal of Sport and Society,20160
Journal of Chinese Writing Systems,20161
Journal of Church and State,20162
Lithuanian Mathematical Journal,20163
Malaysian Journal of Nutrition,20164
Medicina Katastrof,20165
Mortality,20166
Multimodal Communication,20167
NAN NU,20168
New Labor Forum,20169
Online Journal of Issues in Nursing,20170
Optics,20171
Oriental Anthropologist,20172
Pacific Journalism Review,20173
Palpu Chongi Gisul/Journal of Korea Technical Association of the Pulp and Paper Industry,20174
Public Health and Life Environment,20175
Revista de Antropologia,20176
RUDN Journal of Philosophy,20177
Scientific and Technical Information Processing,20178
South African Review of Sociology,20179
South China Fisheries Science,20180
Studia Warminskie,20181
Studies in Big Data,20182
Trauma Case Reports,20183
Utopian studies,20184
Wasserwirtschaft,20185
Waterlines,20186
Zhurnal Issledovanii Sotsial'noi Politiki,20187
Analytical and Bioanalytical Electrochemistry,20188
Andes Pediatrica,20189
"Art, Design and Communication in Higher Education",20190
"Biomedical Engineering - Applications, Basis and Communications",20191
Canadian Journal of Hospital Pharmacy,20192
Didactica Slovenica - Pedagoska Obzorja,20193
Education and Self Development,20194
Experimental Results,20195
Field Actions Science Report,20196
Floresta,20197
Giornale Italiano di Cardiologia,20198
Hattoria,20199
Historia - Zeitschrift fur Alte Geschichte,20200
Hornero,20201
Icelandic Agricultural Sciences,20202
Integrative Medicine,20203
International Journal of Asia-Pacific Studies,20204
International Journal of Nutrition Sciences,20205
"International Journal of Oil, Gas and Coal Technology",20206
Iranian Journal of Numerical Analysis and Optimization,20207
Italian Journal of Gender-Specific Medicine,20208
Journal of African Diaspora Archaeology and Heritage,20209
Journal of Applied Optics,20210
Journal of Chinese Religions,20211
Journal of Information Systems Engineering and Management,20212
Journal of Mathematics and the Arts,20213
Journal of Roman Archaeology,20214
Journal of Tea Science,20215
Journal of the American Podiatric Medical Association,20216
J-Reading,20217
Kadmos,20218
Kajian Malaysia,20219
Kasetsart Journal of Social Sciences,20220
Kobe Journal of Medical Sciences,20221
Kovove Materialy,20222
Materials Science Forum,20223
Middle Eastern Studies,20224
Nanochemistry Research,20225
"Neurodiagnostic journal,The",20226
Pharmaceutical Chemistry Journal,20227
Photonics Letters of Poland,20228
Potato Journal,20229
Proceedings of the Asian Test Symposium,20230
Proceedings of the Estonian Academy of Sciences,20231
Ragion Pratica,20232
Revista Catalana de Dret Ambiental,20233
Revista de la Union Matematica Argentina,20234
Revista Juridica Portucalense,20235
Science and Innovation,20236
Sendebar,20237
SMPTE Motion Imaging Journal,20238
Sozialer Fortschritt,20239
Sport in History,20240
Steel in Translation,20241
Text (Australia),20242
Tierarztliche Praxis Ausgabe K: Kleintiere - Heimtiere,20243
Toxicologie Analytique et Clinique,20244
Tribology and Lubrication Technology,20245
Zaranda de Ideas,20246
Zhongguo Biaomian Gongcheng/China Surface Engineering,20247
Annual Review of CyberTherapy and Telemedicine,20248
Anuario de Psicologia,20249
Archives of Hydroengineering and Environmental Mechanics,20250
Archivos de Cardiologia de Mexico,20251
Arquivo Brasileiro de Medicina Veterinaria e Zootecnia,20252
Asian Journal of Sports Medicine,20253
"Cognition, Brain, Behavior. An Interdisciplinary Journal",20254
Cornell International Law Journal,20255
Cuadernos de Desarrollo Rural,20256
Current Traditional Medicine,20257
Danube,20258
Diplomatica,20259
Earthquake,20260
Europe and the World,20261
Folia Onomastica Croatica,20262
Geodetski List,20263
Hispania Sacra,20264
HOMO- Journal of Comparative Human Biology,20265
India Review,20266
Indian Journal of Fisheries,20267
Inra Productions Animales,20268
International Journal of Learning and Change,20269
Journal for the Study of the Historical Jesus,20270
Journal of Astronomical History and Heritage,20271
Journal of Fruit Science,20272
"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",20273
Journal of Psychiatric Nursing,20274
Journal of Structural Chemistry,20275
Journal of the Bulgarian Geographical Society,20276
Jundishapur Journal of Microbiology,20277
Larhyss Journal,20278
Law Teacher,20279
Lecture Notes in Geoinformation and Cartography,20280
Main Group Chemistry,20281
Microbiology and Biotechnology Letters,20282
Mongolian Studies,20283
Nase More,20284
Orbis Scholae,20285
Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science,20286
Revista Brasileira de Ensino de Fisica,20287
Revista Criminalidad,20288
Revue Roumaine de Geographie,20289
Russian Journal of General Chemistry,20290
Science of Soil and Water Conservation,20291
"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",20292
Sodobna Pedagogika,20293
STEM Education,20294
Vitae,20295
Vjesnik Bibliotekara Hrvatske,20296
Zhonghua er ke za zhi. Chinese journal of pediatrics,20297
Africa Today,20298
Anuario de Estudios Americanos,20299
Aquichan,20300
Archivio di Studi Urbani e Regionali,20301
Asian Journal of Dairy and Food Research,20302
Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,20303
Canadian Journal of African Studies,20304
Case Reports in Pulmonology,20305
Central European History,20306
Chinese Journal of Chromatography (Se Pu),20307
Chinese Journal of Microsurgery,20308
Critical Reviews in Biomedical Engineering,20309
Cultural Politics,20310
Doklady Chemistry,20311
Dongbei Daxue Xuebao/Journal of Northeastern University,20312
Drvna Industrija,20313
European Journal of Science and Theology,20314
Flora Montiberica,20315
Future Neurology,20316
Global Economy Journal,20317
Industria,20318
Innovations,20319
International Review of Mechanical Engineering,20320
Israel Studies,20321
Istoriya,20322
Journal of Arthroscopy and Joint Surgery,20323
Journal of Plant Biotechnology,20324
Journal of Risk,20325
Journal of the Economic and Social History of the Orient,20326
Journal of the History of Ideas,20327
Jundishapur Journal of Chronic Disease Care,20328
Jurnal Medik Veteriner,20329
Keikinzoku Yosetsu/Journal of Light Metal Welding and Construction,20330
Logos (Lithuania),20331
Medicine,20332
"Minerals, Metals and Materials Series",20333
Molekul,20334
Nativa,20335
Nature and Culture,20336
Nephrologie et Therapeutique,20337
Nuclear Physics and Atomic Energy,20338
Open Cultural Studies,20339
Orthopaedic Nursing,20340
Physiotherapy Practice and Research,20341
Prague medical report,20342
Przeglad Socjologii Jakosciowej,20343
"Radioelektronika, Nanosistemy, Informacionnye Tehnologii",20344
"Review of Science, Mathematics and ICT Education",20345
Revista Arvore,20346
"Revista de la Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",20347
SCRIPTA,20348
Seminars in Colon and Rectal Surgery,20349
Shakespeare Quarterly,20350
SKIN: Journal of Cutaneous Medicine,20351
Social Work/Maatskaplike Werk,20352
Socialni Prace,20353
Studies in Microeconomics,20354
Sudebno-Meditsinskaya Ekspertisa,20355
Systemes d'Information et Management,20356
Techniques in Foot and Ankle Surgery,20357
Tonkie Khimicheskie Tekhnologii,20358
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriya 2. Yazykoznanie,20359
Virchows Archiv fur pathologische Anatomie und Physiologie und fur klinische Medizin,20360
Voprosy Onomastiki,20361
"World Review of Science, Technology and Sustainable Development",20362
Zeitschrift fur die Alttestamentliche Wissenschaft,20363
Acta Commercii,20364
Agronomia Mesoamericana,20365
Agypten und Levante,20366
Annals of Cancer Research and Therapy,20367
Anthropologica,20368
Archive for History of Exact Sciences,20369
Archives of Pediatric Infectious Diseases,20370
Ars et Humanitas,20371
Beijing Jiaotong Daxue Xuebao/Journal of Beijing Jiaotong University,20372
Botanica,20373
Catalysis in Industry,20374
Chiang Mai Journal of Science,20375
Chinese Journal of Inorganic Chemistry,20376
Chinese Journal of Luminescence,20377
Comparative Parasitology,20378
Condensed Matter Physics,20379
Ecological Genetics,20380
eMagRes,20381
Folia Biologica,20382
"Future of Food: Journal on Food, Agriculture and Society",20383
Historia da Historiografia,20384
IEEE International Symposium on Electromagnetic Compatibility,20385
International Journal of Applied Pharmaceutics,20386
International Journal of High-Rise Buildings,20387
International Journal of Human Resources Development and Management,20388
International Journal of Internet Technology and Secured Transactions,20389
International Journal of Minority and Group Rights,20390
International Journal of Technoentrepreneurship,20391
International Journal of Women's Health and Reproduction Sciences,20392
International Studies,20393
Investigaciones Regionales,20394
Iranian Journal of Breast Diseases,20395
Iranian Journal of Ichthyology,20396
Israel Journal of Plant Sciences,20397
Journal of Applied Spectroscopy,20398
Journal of Commonwealth Literature,20399
Journal of Cyber Security,20400
Journal of Evolutionary Studies in Business,20401
Journal of Islamic Archaeology,20402
Journal of Literary Semantics,20403
Journal of Refrigeration,20404
Journal of the American Leather Chemists Association,20405
Jurnal Ekonomi Malaysia,20406
Kao Teng Hsueh Hsiao Hua Heush Hsueh Pao/ Chemical Journal of Chinese Universities,20407
Manuelle Medizin,20408
Mechatronic Systems and Control,20409
Medico-Biological and Socio-Psychological Issues of Safety in Emergency Situations,20410
Nursing children and young people,20411
Ocean and Polar Research,20412
Philosophical Investigations,20413
Physics of Atomic Nuclei,20414
Physis,20415
Pneumon,20416
"Proceedings - International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV",20417
Recent Innovations in Chemical Engineering,20418
Revista Brasileira de Ciencias Policiais,20419
Revista de Estudios Latinoamericanos sobre Reduccion del Riesgo de Desastres,20420
Revista Galega de Economia,20421
Revue d'Elevage et de Medecine Veterinaire des Pays Tropicaux,20422
Rock Music Studies,20423
Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics,20424
Studia Phaenomenologica,20425
Teaching Philosophy,20426
Teoriya i Praktika Fizicheskoy Kultury,20427
Turk Kulturu ve Haci Bektas Veli - Arastirma Dergisi,20428
Writing Systems Research,20429
WSEAS Transactions on Environment and Development,20430
Yuzuncu Yil University Journal of Agricultural Sciences,20431
Zhonghua nei ke za zhi [Chinese journal of internal medicine],20432
Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],20433
Acta Neuropsychologica,20434
Aero Weaponry,20435
Aging Medicine and Healthcare,20436
Agricultural Engineering International: CIGR Journal,20437
Anuario Musical,20438
Asian Journal of Human Services,20439
Australian Journal of Otolaryngology,20440
Boletim do Instituto de Pesca,20441
Bulleten' Pocvennogo Instituta Imeni V.V. Dokucaeva,20442
Calcutta Statistical Association Bulletin,20443
CEUR Workshop Proceedings,20444
Cogitare Enfermagem,20445
Comparative Economic Research,20446
Confinia Cephalalgica,20447
Dialectologia et Geolinguistica,20448
Diplomatic History,20449
Educacao e Pesquisa,20450
Emergency Nurse,20451
Estudios Filologicos,20452
Frontiers of Nursing,20453
Futuro del Pasado,20454
Gender and History,20455
Gospodarka Surowcami Mineralnymi / Mineral Resources Management,20456
High Energy Chemistry,20457
Immigrants and Minorities,20458
International Journal of Athletic Therapy and Training,20459
International Journal of Grid and High Performance Computing,20460
International Journal of Morphology,20461
International Journal of Operations and Quantitative Management,20462
International Journal of Powertrains,20463
International Journal of Project Organisation and Management,20464
International Journal of Radiation Research,20465
International Journal of Taiwan Studies,20466
Investigacion Bibliotecologica,20467
Iranian Rehabilitation Journal,20468
Journal of Agricultural and Environmental Law,20469
Journal of Cryptologic Research,20470
Journal of International Dental and Medical Research,20471
Journal of Nano- and Electronic Physics,20472
Jurnal Ilmu Ternak dan Veteriner,20473
Kamchatka,20474
Masculinities and Social Change,20475
Molecular Crystals and Liquid Crystals,20476
"Nanosistemi, Nanomateriali, Nanotehnologii",20477
"Nevrologiya, Neiropsikhiatriya, Psikhosomatika",20478
Pediatric emergency medicine practice,20479
Political Theology,20480
"Preservation, Digital Technology and Culture",20481
Prism,20482
"Proceedings of the National Academy of Sciences of Belarus, Chemical Series",20483
Przeglad Strategiczny,20484
Psicogente,20485
Real Estate Management and Valuation,20486
Rendiconti Online Societa Geologica Italiana,20487
Revista de Estudios Politicos,20488
Revista de Psicologia del Deporte,20489
Revista Iberoamericana de Psicologia del Ejercicio y el Deporte,20490
Revue Francaise de Psychanalyse,20491
Roczniki Filozoficzne,20492
Russian Journal of Anesthesiology and Reanimatology /Anesteziologiya i Reanimatologiya,20493
Russian Metallurgy (Metally),20494
Sociologie du Travail,20495
South Asian History and Culture,20496
Texto Livre,20497
Transactions of the Atomic Energy Society of Japan,20498
Turkish Computational and Theoretical Chemistry,20499
Advances in Horticultural Science,20500
Alauda,20501
Annals of Library and Information Studies,20502
Applied Engineering Letters,20503
Arthuriana,20504
Auditory and Vestibular Research,20505
Australasian Journal of Disaster and Trauma Studies,20506
Aviation,20507
Biology Bulletin,20508
Buletinul Academiei de Stiinte a Republicii Moldova. Matematica,20509
Caldasia,20510
Cardiology Plus,20511
Cedille,20512
Ceskoslovenska Psychologie,20513
China Perspectives,20514
Chinese Journal of Ophthalmology,20515
Contributions to Political Economy,20516
Dearq,20517
European Journal of Post-Classical Archaeologies,20518
Forma y Funcion,20519
Geofizica,20520
"Geographical Review of Japan, Series B",20521
Global Business and Finance Review,20522
Gosudarstvo i Pravo,20523
Indonesian Journal of International Law,20524
International Journal of Christianity and Education,20525
International Journal of English Studies,20526
International Journal of Monetary Economics and Finance,20527
International Journal of Work Innovation,20528
International Real Estate Review,20529
ITE Journal (Institute of Transportation Engineers),20530
Izvestiya of Saratov University. Mathematics. Mechanics. Informatics,20531
Journal of Applied Nonlinear Dynamics,20532
Journal of Chemical Technology and Metallurgy,20533
Journal of Chinese Agricultural Mechanization,20534
Journal of Computational Analysis and Applications,20535
Journal of Conflict and Security Law,20536
Journal of Holocaust Research,20537
Klinicka Onkologie,20538
Materials Physics and Mechanics,20539
Materials Protection,20540
Musicologist,20541
Nuclear Physics News,20542
Odovtos - International Journal of Dental Sciences,20543
Philippine Journal of Science,20544
Powder Diffraction,20545
Project Baikal,20546
Przeglad Wschodnioeuropejski,20547
Psico-USF,20548
Psychological Thought,20549
Revista Baiana de Enfermagem,20550
Revista de Enfermagem Referencia,20551
Revista Latinoamericana de Investigacion en Matematica Educativa,20552
Sarhad Journal of Agriculture,20553
Scientia Sinica Chimica,20554
Singapore Journal of Legal Studies,20555
Social Philosophy and Policy,20556
Southeast Asian Studies,20557
Transplantology,20558
Trends in Sciences,20559
Zhurnal Mikrobiologii Epidemiologii i Immunobiologii,20560
ABAC Journal,20561
Actual Problems of Theory and History of Art,20562
American Religion,20563
Arteterapia,20564
Bangladesh Journal of Botany,20565
Chinese Journal of Nursing Education,20566
Cirugia y Cirujanos,20567
Clinical Pulmonary Medicine,20568
Contributions to Geophysics and Geodesy,20569
Custos e Agronegocio,20570
Dianbo Kexue Xuebao/Chinese Journal of Radio Science,20571
Econ Journal Watch,20572
Egyptian Pharmaceutical Journal(Egypt),20573
Europa XXI,20574
Filozofia,20575
Gefasschirurgie,20576
Global Intellectual History,20577
International Journal of Electronic Security and Digital Forensics,20578
Japanese Journal of Human Geography,20579
Jornal Vascular Brasileiro,20580
Journal of Chemical Engineering of Japan,20581
Journal of Child Psychotherapy,20582
Journal of Feminist Studies in Religion,20583
Journal of Korean Studies,20584
Journal of Mechanics in Medicine and Biology,20585
Journal of Medicinal Plants for Economic Development,20586
Journal of Migration History,20587
Journal of Modern Rehabilitation,20588
Journal of Monolingual and Bilingual Speech,20589
Journal of Radiology Nursing,20590
Journal of Social History,20591
Jusletter IT,20592
Korean Journal of Defense Analysis,20593
Korean Journal of Financial Studies,20594
Kwartalnik Historii Nauki i Techniki,20595
Medical Journal of Babylon,20596
Oceanologia et Limnologia Sinica,20597
Ortopedia Traumatologia Rehabilitacja,20598
Physics of the Solid State,20599
Projections,20600
Psicoterapia e Scienze Umane,20601
Public Anthropologist,20602
Research Result. Theoretical and Applied Linguistics,20603
